model,parameter,value
ridge,alpha,0.1
lasso,alpha,0.1
elastic_net,l1_ratio,0.7
elastic_net,alpha,0.1
decision_tree,min_samples_split,5
decision_tree,max_depth,5
random_forest,n_estimators,100
random_forest,min_samples_split,2
random_forest,max_depth,10
gradient_boosting,n_estimators,100
gradient_boosting,max_depth,3
gradient_boosting,learning_rate,0.01
ada_boost,n_estimators,100
ada_boost,learning_rate,0.1
svr,kernel,rbf
svr,epsilon,0.1
svr,C,1
knn,weights,distance
knn,n_neighbors,5
mlp,hidden_layer_sizes,"(100,)"
mlp,alpha,0.0001
bagging,n_estimators,100
bagging,max_samples,0.7
